iter	Passed	Remaining
0	6	6638
1	12	6079
2	15	5078
3	19	4760
4	21	4309
5	23	3867
6	26	3744
7	28	3559
8	30	3398
9	33	3309
10	35	3223
11	37	3109
12	39	3010
13	41	2917
14	43	2825
15	44	2749
16	46	2672
17	49	2715
18	51	2663
19	53	2612
20	54	2559
21	56	2508
22	58	2465
23	59	2434
24	61	2395
25	63	2385
26	65	2355
27	66	2324
28	68	2307
29	70	2286
30	72	2268
31	74	2248
32	75	2224
33	77	2201
34	80	2215
35	82	2197
36	83	2179
37	85	2169
38	87	2155
39	89	2136
40	90	2116
41	91	2091
42	93	2073
43	96	2099
44	98	2083
45	99	2066
46	101	2053
47	102	2042
48	104	2033
49	106	2018
50	107	2002
51	110	2018
52	112	2003
53	113	1989
54	114	1974
55	116	1959
56	117	1945
57	118	1930
58	120	1916
59	121	1903
60	122	1889
61	124	1890
62	126	1882
63	127	1870
64	129	1859
65	130	1850
66	132	1840
67	133	1832
68	135	1823
69	136	1815
70	137	1805
71	140	1815
72	143	1828
73	145	1818
74	146	1809
75	147	1797
76	149	1786
77	150	1775
78	151	1762
79	152	1752
80	153	1745
81	157	1758
82	158	1752
83	159	1743
84	161	1735
85	162	1726
86	163	1718
87	164	1709
88	166	1700
89	167	1691
90	168	1683
91	171	1693
92	173	1691
93	174	1683
94	175	1674
95	177	1667
96	178	1660
97	179	1652
98	180	1645
99	182	1639
100	183	1632
101	185	1630
102	187	1633
103	188	1626
104	190	1620
105	191	1612
106	192	1604
107	193	1598
108	194	1591
109	196	1585
110	197	1580
111	198	1576
112	201	1584
113	203	1581
114	204	1573
115	205	1568
116	206	1562
117	208	1555
118	209	1549
119	210	1544
120	211	1539
121	213	1534
122	214	1530
123	216	1530
124	218	1526
125	219	1521
126	220	1516
127	221	1511
128	223	1505
129	224	1501
130	225	1498
131	227	1493
132	228	1490
133	229	1486
134	232	1487
135	233	1483
136	234	1480
137	236	1475
138	237	1471
139	238	1466
140	240	1462
141	241	1457
142	242	1453
143	244	1451
144	247	1460
145	249	1457
146	250	1453
147	251	1448
148	252	1444
149	254	1439
150	255	1434
151	256	1429
152	257	1425
153	258	1419
154	259	1415
155	262	1418
156	263	1414
157	264	1409
158	265	1405
159	266	1400
160	268	1396
161	269	1393
162	270	1388
163	271	1384
164	272	1380
165	273	1376
166	275	1371
167	278	1377
168	279	1373
169	280	1369
170	281	1364
171	282	1360
172	283	1355
173	284	1351
174	285	1347
175	286	1343
176	287	1338
177	289	1334
178	290	1330
179	292	1334
180	294	1331
181	295	1328
182	296	1324
183	298	1321
184	299	1318
185	300	1315
186	301	1311
187	302	1308
188	304	1306
189	306	1305
190	308	1304
191	309	1303
192	311	1302
193	312	1299
194	314	1296
195	315	1293
196	316	1290
197	317	1287
198	319	1284
199	320	1281
200	322	1281
201	324	1280
202	325	1277
203	326	1274
204	327	1271
205	329	1269
206	331	1268
207	332	1265
208	333	1262
209	334	1259
210	335	1255
211	338	1258
212	339	1256
213	341	1253
214	343	1252
215	345	1252
216	346	1250
217	347	1247
218	349	1245
219	351	1247
220	356	1256
221	357	1253
222	359	1251
223	360	1248
224	361	1246
225	363	1244
226	364	1242
227	368	1247
228	369	1244
229	371	1242
230	372	1239
231	373	1236
232	374	1233
233	376	1231
234	377	1228
235	378	1225
236	380	1223
237	383	1227
238	385	1226
239	387	1226
240	390	1230
241	392	1228
242	393	1226
243	394	1223
